"countryName","2009.GDP(currentUS$)","2009.Foreigndirectinvestmentnetinflows(BoPcurrentUS$)","2009.Netfinancialaccount(BoPcurrentUS$)","2009.GDPgrowth(annual%)","2009.GDPpercapitagrowth(annual%)","2009.Grosscapitalformation(annual%growth)","2009.Industry(includingconstruction)valueadded(annual%growth)","2009.Manufacturingvalueadded(annual%growth)","2009.Servicesvalueadded(annual%growth)","2009.Exportsofgoodsandservices(annual%growth)","2009.Agedependencyratioold(%ofworking-agepopulation)","2009.Agedependencyratioyoung(%ofworking-agepopulation)","2009.Populationgrowth(annual%)","2009.Populationfemale(%oftotal)","2009.Populationmale(%oftotal)","2009.Populationages15-19female(%offemalepopulation)","2009.Populationages15-19male(%ofmalepopulation)","2009.Populationages20-24female(%offemalepopulation)","2009.Populationages20-24male(%ofmalepopulation)","2009.Populationages25-29male(%ofmalepopulation)","2009.Populationages25-29female(%offemalepopulation)","2009.Populationages65andabove(%oftotal)","2009.Populationages65andabovefemale","2009.Populationages65andabovefemale(%oftotal)","2009.Populationages15-64male(%oftotal)","2009.Populationages15-64female(%oftotal)","2009.Laborforceparticipationrateforages15-24female(%)(modeledILOestimate)","2009.Laborforceparticipationrateforages15-24male(%)(modeledILOestimate)","2009.Laborforceparticipationrateforages15-24total(%)(modeledILOestimate)","2009.Laborforcefemale(%oftotallaborforce)","2009.Laborforcetotal","2009.Ratiooffemaletomalelaborforceparticipationrate(%)(modeledILOestimate)"
"Leastdevelopedcountries",5.83e+11,1.54e+10,,4.820053446,2.389416068,2.672591877,5.517941813,5.23496875,,-3.197954265,6.2306519,75.75171669,2.373914679,50.19930354,49.80069646,10.54556734,10.71649618,9.17631489,9.173162693,7.883883192,8.006154501,3.42376679,15174934,3.646737613,54.54781049,55.34981712,48.75968618,63.81868738,56.29100971,41.60265544,332438566,73.43128635
"Afghanistan",1.25e+10,56100000,6.34e+08,21.02064874,17.951089,5.795634408,6.107145558,5.296299503,17.24807908,-21.62163171,4.56695004,96.17386254,2.569114319,48.58539906,51.41460094,10.37912276,10.40423205,8.564418017,8.659381925,7.405283702,7.330757757,2.275048099,332768,2.445741828,50.06052097,49.55586922,17.22100067,76.70999908,47.90100098,13.77056259,7549815,16.95591925
"Angola",7.55e+10,2205298180,-7.1e+09,2.412909701,-1.175597203,-15.7915017,,,,-2.639998673,4.6569231,94.0824622,3.566820983,51.08939468,48.91060532,10.50956979,10.57190707,8.835994231,8.860428265,7.281888478,7.29793452,2.343231108,298193,2.588385636,49.9912731,50.62915219,57.60100174,58.43099976,58.00799942,49.96134191,9233513,93.54060862
"Bangladesh",1.02e+11,9.01e+08,1.79e+09,5.045124794,3.893892784,7.388144651,6.913173254,6.693401414,5.079970246,0.028504479,7.372263057,51.90000792,1.101990116,49.36986986,50.63013014,10.32817543,10.42386417,9.906555926,9.728274937,8.896662817,9.279953326,4.628717235,3414859,4.597322786,62.50441793,63.0739944,21.8390007,66.63400269,44.47299957,25.61521805,57920440,35.05047033
"Benin",7.1e+09,-18700000,-4.94e+08,2.32930121,-0.505468043,11.29588955,0.250823013,-1.051876644,1.464402555,-6.036161335,6.113928989,83.42174738,2.809336884,50.35877634,49.64122366,10.532616,10.87798178,8.862421705,9.044261567,7.484736828,7.437007792,3.225740455,169457,3.761994261,52.37302385,53.14253962,46.61100006,41.41899872,43.99900055,49.51958459,3568162,93.55482182
"Bhutan",1.26e+09,18300000,51800000,6.657223796,4.640694092,16.46415524,3.456833977,6.880279614,13.26597618,-2.387699816,6.33930508,48.62056999,1.908765546,47.0566417,52.9433583,11.7698149,10.7175809,11.35904628,11.07791792,10.96212364,9.147260997,4.090933267,13326,3.963723866,65.71193659,63.20809996,53.31600189,46.54700089,49.83200073,43.11062818,351556,88.74064548
"Bolivia",1.73e+10,423040000,470520000,3.357001259,1.674131284,3.878754236,2.896253825,4.810624238,4.890428822,-10.75565759,9.888718146,59.46357374,1.641611932,49.8801434,50.1198566,10.12509871,10.34516176,9.207247976,9.332622378,8.328526954,8.294512618,5.839140431,303232,6.229502539,58.92401027,59.17361796,45.43399811,57.24700165,51.4070015,43.51338368,4562872,76.1849514
"BurkinaFaso",8.37e+09,56400000,-80300000,2.962014371,-0.107397784,18.12274067,10.33936487,-2.068262619,5.044099129,19.40430203,4.875486172,90.58208177,3.026449668,50.46439168,49.53560832,10.55815292,11.095599,8.943832653,9.31681474,7.74722392,7.558256181,2.494396213,231143,3.025090229,50.47249853,51.83884333,53.03300095,70.1989975,61.73199844,43.55552221,5783758,72.37852937
"Burundi",1.74e+09,348404.5346,8.49e+08,3.468425425,0.095055049,90.8613526,4.931920976,0.800000004,3.500000001,-14.74817706,5.101238947,83.6102789,3.314621282,50.88838141,49.11161859,11.89683078,11.54663522,10.34518599,9.786711863,7.68736289,7.695005384,2.703194275,125413,2.903124401,52.67918607,53.29197311,62.88999939,54.15200043,58.68999863,51.98587874,3764253,102.596412
"CaboVerde",1.71e+09,1.26e+08,-2.34e+08,-1.270425968,-2.311434992,-9.059925793,-5.418272033,-1.014722772,0.410710475,-16.82962576,9.2400589,58.21553848,1.060002683,50.42668829,49.57331171,11.6769884,12.03386872,10.36056887,11.292686,9.194562495,8.132352237,5.517915821,16259,6.487925173,60.15716646,59.28716222,30.46800041,53.77799988,42.35499954,39.22852036,191891,62.40843679
"Cambodia",1.04e+10,9.28e+08,-3.75e+08,0.086696959,-1.402853817,3.838113878,-9.493231214,-15.51045182,2.016173038,-9.865636833,5.871100552,54.33601725,1.499446217,51.3194373,48.6805627,11.07476307,12.29973959,9.893006751,10.22044281,11.25326095,11.09470494,3.664693949,304101,4.205508022,61.35919177,63.42489583,77.72299957,79.63600159,78.68800354,50.1935127,7893797,91.10535968
"Cameroon",2.6e+10,7.43e+08,-7.7e+08,2.198664102,-0.56519321,2.343490644,-0.426430703,3.909566958,3.621843066,-10.85547837,6.100711388,81.93849164,2.7416385,50.0090544,49.9909456,10.86849795,11.02834605,9.604394141,9.679631874,8.032384952,8.011221615,3.244382708,342914,3.528636614,53.09589406,53.26488463,53.26900101,61.67699814,57.49599838,46.75995463,8322260,86.65536657
"CentralAfricanRepublic",1.98e+09,42280000,-86300000,1.70923922,0.350323252,5.406888807,0.933302562,-0.225363914,3.522797116,-14.21273601,6.897696011,79.04557483,1.345085023,50.66874315,49.33125685,10.70713027,10.81723212,9.350282245,9.399386835,7.868454519,7.85944777,3.709570118,90948,4.075518167,53.75453994,53.80420682,49.94200134,53.70399857,51.80500031,45.76665297,1810128,81.03883572
"Chad",9.25e+09,374900000,-72700000,4.217695552,0.875156333,44.00898657,13.0455169,8.927463946,10.40272993,-13.66148172,5.352635558,100.3291363,3.25982615,50.00245593,49.99754407,10.80784669,10.92991124,8.726939101,8.818613735,7.083069906,7.018357963,2.602386935,162552,2.826169012,48.45311547,48.78444932,58.29700089,58.83599854,58.56800079,45.28935047,4246442,81.52282218
"Comoros",5.24e+08,13800000,11500000,1.949999978,-0.476349813,-11.77706713,2.072870058,36.29354654,8.990402891,-6.898215138,5.338398747,74.02519208,2.408719056,49.60512498,50.39487502,10.86634308,11.04089789,9.702455632,9.810660096,8.181051862,8.140325242,2.976300108,11057,3.310806157,55.68579715,55.82048526,14.93799973,14.95899963,14.94799995,40.6042147,166133,68.51257416
"CongoDemRep",1.86e+10,-243200000,-8.62e+08,2.85506401,-0.500119648,65.96754744,1.569790032,-9.872508376,3.783851736,-28.28055238,5.872310648,90.58511223,3.316441006,50.23578085,49.76421915,10.25357405,10.43577815,8.572803381,8.6728327,7.183089571,7.15173973,2.989100927,1045592,3.335022972,50.73235771,51.06928557,51.38199997,42.04999924,46.70299911,49.89218724,24350550,96.76397758
"CongoRep",9.59e+09,1.18e+09,-1.47e+09,7.468942484,3.975409551,16.81622584,12.765314,5.500321865,5.316836774,11.16888195,6.105343309,75.85685014,3.304747414,49.99079626,50.00920374,9.693993918,9.755862515,8.866986039,8.909697242,8.254483266,8.227990074,3.355281223,76996,3.620851734,54.97968263,54.93310246,44.03099823,43.10499954,43.56600189,48.73118185,1721011,94.29915647
"CotedIvoire",2.43e+10,3.96e+08,1.81e+09,3.251453719,0.981061397,-26.53806393,3.885672864,-0.332824387,5.60844411,18.10228652,5.356382681,82.32342127,2.2234323,48.92913239,51.07086761,10.7509754,10.47854522,8.934956088,8.657370681,7.264357687,7.536592409,2.854000574,258365,2.648624195,53.76880671,52.77445601,34.42399979,47.98099899,41.2519989,38.07711673,6844066,65.798953
"Djibouti",1.05e+09,96900000,-50700000,9.27283700546154,7.44534651292308,17.8115750453846,6.79247799953846,23.4441233833846,0.850875912,12.7856437339231,5.867301457,58.08877264,1.675689026,49.76106572,50.23893428,11.11975621,11.26254698,10.5290079,10.60701204,8.286237572,8.299773546,3.57858133,16085,3.862677435,60.98710813,60.99668364,43.91600037,47.58399963,45.76800156,39.79151947,321277,66.13340568
"EgyptArabRep",1.89e+11,6711600000,-2993500000,4.673844855,2.755735398,-8.450991427,5.470464261,3.722964232,4.331794045,-14.64192772,7.550081955,50.86415022,1.849460553,49.52428988,50.47571012,10.12199714,10.42143856,10.32062486,10.5599425,8.950241455,8.814112441,4.766037654,2244285,5.495281233,63.22914627,63.02017073,20.90699959,48.72299957,35.12799835,23.40598227,27333918,30.58442576
"ElSalvador",1.76e+10,368730000,512224000,-2.08339422,-2.513764378,-27.97392919,-6.051851129,-4.135935683,-3.236046315,-9.297741455,11.56647173,53.13721317,0.440496004,52.58427439,47.41572561,10.24475705,11.2686351,8.696809442,8.813199026,7.250536334,7.761242498,7.022594389,239043,7.407039016,58.7108806,62.52297241,31.69199944,62.52000046,46.75899887,41.09464348,2559701,58.74716758
"Eritrea",1.86e+09,9.1e+07,-1.28e+08,3.87650156,2.004025688,-13.02611312,-0.24226238,-0.407759524,4.234183338,36.21358061,6.456329873,75.23383947,1.819042849,49.96032783,50.03967217,11.03776121,11.1041772,10.84342217,10.8660547,8.935482061,9.007069112,3.553483326,82468,3.829570462,54.61870031,55.45967337,68.21399689,75.18199921,71.70800018,46.8995715,2029155,86.38566306
"Ethiopia",3.24e+10,2.21e+08,-2.69e+09,8.802553202,5.96026306,30.0354539968889,9.673308135,8.624984463,14.68212952,-5.63404821422222,6.283333322,86.68798903,2.647065405,50.09856321,49.90143679,10.91324042,11.1680022,8.88025146,8.921618804,7.439186457,7.570139992,3.25609694,1455077,3.400323324,51.35141558,52.28910155,75.51899719,81.95500183,78.7539978,46.95557379,39483877,86.23047399
"GambiaThe",9.01e+08,39400000,57100000,6.449695858,3.139260685,31.66942149,1.28183329,-4.265039084,6.716732591,15.29332736,4.947254979,90.72788009,3.159241368,50.46607102,49.53392898,10.45237002,10.55388438,9.199318363,8.937900871,7.627407691,8.20864857,2.528300276,20178,2.438664765,50.18993101,52.0029731,37.48600006,46.36999893,41.86899948,43.26669334,519908,72.61028698
"Georgia",1.08e+10,6.58e+08,-9.41e+08,-3.650101341,-2.390625542,4.57348992666667,-3.778893675,-6.722199785,-4.137191996,17.0303677733333,21.27841094,26.85787593,-1.298719553,52.56230104,47.43769896,7.63967648,8.596982961,7.73813644,8.867290304,7.449282958,6.836688693,14.36407805,350639,16.76951939,68.20437359,66.87428008,25.40200043,46.7159996,36.19100189,45.6982415,2074268,72.55556028
"Ghana",2.6e+10,2372540000,-2674888481,4.844486889,2.190061334,-20.93723032,4.486828486,-1.30566914,3.596289427,7.620277315,6.157636377,70.25117179,2.564374921,50.46470178,49.53529822,10.40020413,10.92387012,9.43494625,9.40902712,7.954982214,8.469539154,3.490549276,475218,3.939469754,55.95145307,57.40948723,53.41199875,55.5379982,54.47800064,49.86052534,10931018,93.84772807
"Guinea",6.49e+09,91030000,-330680000,-1.117638595,-3.303714548,-22.534213,-3.504212442,7.92285149013333,3.711431462,5.726825611,5.942159992,82.01363377,2.235588634,49.98215796,50.01784204,10.53771715,10.73375419,8.875175783,9.003915989,7.43810731,7.370526763,3.161466786,180089,3.413116569,53.16980758,53.23814812,51.32899857,41.35200119,46.29800034,48.69227131,3856228,94.01068725
"GuineaBissau",8.27e+08,18890200,13600000,3.368974948,0.875296044,-11.14194969,4.685225026,2.972788119,2.607291531,10.5121599,5.144011823,77.918147,2.441980685,51.02105237,48.97894763,11.14591312,11.26362796,9.77137019,9.643140173,7.932371141,8.138632251,2.809980968,24060,3.107639808,54.02639549,55.20297176,50.04999924,53.76300049,51.86800003,47.02445519,620441,82.60519307
"Haiti",6.58e+09,55470000,621357400,3.083247688,1.536497307,3.554356683,4.582951421,4.470359572,1.413670052,22.24770642,7.489626506,61.29690685,1.511857854,50.57165571,49.42834429,10.72983648,11.1413477,10.10859443,10.26954006,8.911747597,8.978839037,4.437336532,241560,4.847915613,58.61018363,59.86834606,32.50299835,39.07899857,35.79800034,47.56659985,4120017,85.80625365
"Honduras",1.46e+10,4.94e+08,-5.64e+08,-2.43162788,-4.403183848,-44.24215876,-7.693287103,-8.150923931,0.5875538,-15.89693577,6.807004193,63.6151113,2.04138691,50.18453588,49.81546412,10.99128818,11.38178782,9.747369951,9.974856871,8.656866243,8.61100716,3.99420238,174889,4.337160145,58.19267771,59.15946055,30.22699928,73.55899811,52.13100052,34.03432482,3227286,49.87907809
"India",1.32e+12,3.56e+10,-2.62e+10,8.479783897,6.950038738,17.25295272,9.163007721,11.2955621,11.55346753,0,7.932215906,49.1946887,1.420203435,48.13495013,51.86504987,9.662242165,9.871925834,9.291323547,9.354154288,8.554694549,8.514772873,5.048286241,32153654,5.501162785,63.56534976,63.72628855,20.88500023,56.66799927,39.57099915,25.92013248,469829385,37.13799186
"Indonesia",5.4e+11,4.88e+09,7.75e+09,4.628871183,3.238193028,67.38937224,3.588287877,2.212063014,5.82555487,-9.69013805,7.390064327,44.04004448,1.338065661,49.60603988,50.39396012,9.162112885,9.375248677,9.003750021,9.070326681,8.738478101,8.902782535,4.880181613,6456646,5.438213763,66.06699459,66.00668439,41.16999817,62.18000031,51.83800125,37.71402778,114924975,60.60969093
"Kenya",3.7e+10,1.16e+08,-1.35e+09,3.306939815,0.511532948,11.09291756,3.6959784,-1.052929571,6.226331985,-5.219070781,4.580669202,80.3204526,2.743207843,50.29558221,49.70441779,10.64251754,10.83824654,10.04026034,10.1612802,8.680155393,8.619988415,2.477361499,544282,2.689468128,53.70642958,54.45504153,36.0359993,43.31900024,39.68399811,47.29876598,14984059,86.86975058
"Kiribati",1.3e+08,4995548.978,5660514.034,0.289623952,-1.832485663,,-7.592508632,-14.03288625,1.174954176,,5.907061353,60.40350587,2.138689009,50.77209136,49.22790864,10.26399279,11.09495243,9.876228898,10.28903836,7.796562241,8.156750617,3.55182563,2193,4.294778896,59.437678,60.79276174,,,,,,
"KoreaDemPeoplesRep",,8623000,,,,,,,,,12.46606108,33.90738625,0.524098754,51.14358288,48.85641712,7.865541057,8.564362785,7.386628806,8.024057379,7.594313105,7.008369814,8.516613709,1361473,10.88197368,69.72080009,66.97874532,76.41899872,74.16999817,75.27300262,48.02293367,15211174,85.88018119
"Kosovo",5.65e+09,4.03e+08,-1.51e+08,3.341665533,2.514978674,10.88773062,12.03174275,11.46344814,2.584394023,12.44867794,,,0.803171845,,,,,,,,,,,,,,,,,,,
"KyrgyzRepublic",4.69e+09,189377400,-1.43e+08,2.8862947,1.651651519,-4.892902056,-0.31792912,-9.305572896,0.540504829,-1.081578439,7.247856216,45.69431964,1.207265644,50.5694577,49.4305423,11.14556586,11.62339232,10.84421126,11.18115378,8.48586617,8.061263216,4.738951101,153038,5.621620221,65.35217339,65.41549649,37.4109993,58.10200119,47.82699966,42.18873959,2410072,69.47685262
"LaoPDR",5.83e+09,3.19e+08,-5.84e+08,7.501774913,5.757048091,1.325829316,14.6531674,5.778277662,5.958166889,5.596,6.217140883,62.43483005,1.636289393,50.28763625,49.71236375,12.0985572,12.51871531,10.14967114,10.3977504,8.137722446,8.18019495,3.686373097,126722,4.096109662,58.86052006,59.7220624,68.33399963,60.52399826,64.39399719,50.21799042,3027656,97.08893557
"Lesotho",1.87e+09,91300000,-1.39e+08,2.1543082,1.178959483,7.16367092,-6.309689995,-3.532898281,7.241524997,-7.39758052,7.616211414,65.02905766,0.959367062,51.57469767,48.42530233,11.32520264,12.26690257,10.37984335,11.2301981,9.374213804,8.700282215,4.411479941,52988,5.088135909,57.16069584,58.63695419,43.58100128,58.14699936,50.92300034,47.41722055,858184,80.8517982
