"countryName","2009.GDP(currentUS$)","2009.Foreigndirectinvestmentnetinflows(BoPcurrentUS$)","2009.Netfinancialaccount(BoPcurrentUS$)","2009.GDPgrowth(annual%)","2009.GDPpercapitagrowth(annual%)","2009.Grosscapitalformation(annual%growth)","2009.Industry(includingconstruction)valueadded(annual%growth)","2009.Manufacturingvalueadded(annual%growth)","2009.Servicesvalueadded(annual%growth)","2009.Exportsofgoodsandservices(annual%growth)","2009.Agedependencyratioold(%ofworking-agepopulation)","2009.Agedependencyratioyoung(%ofworking-agepopulation)","2009.Populationgrowth(annual%)","2009.Populationfemale(%oftotal)","2009.Populationmale(%oftotal)","2009.Populationages15-19female(%offemalepopulation)","2009.Populationages15-19male(%ofmalepopulation)","2009.Populationages20-24female(%offemalepopulation)","2009.Populationages20-24male(%ofmalepopulation)","2009.Populationages25-29male(%ofmalepopulation)","2009.Populationages25-29female(%offemalepopulation)","2009.Populationages65andabove(%oftotal)","2009.Populationages65andabovefemale","2009.Populationages65andabovefemale(%oftotal)","2009.Populationages15-64male(%oftotal)","2009.Populationages15-64female(%oftotal)","2009.Laborforceparticipationrateforages15-24female(%)(modeledILOestimate)","2009.Laborforceparticipationrateforages15-24male(%)(modeledILOestimate)","2009.Laborforceparticipationrateforages15-24total(%)(modeledILOestimate)","2009.Laborforcefemale(%oftotallaborforce)","2009.Laborforcetotal","2009.Ratiooffemaletomalelaborforceparticipationrate(%)(modeledILOestimate)"
"Liberia",1155147400,1.28e+08,9.6e+08,5.300099075,1.196561014,36.71224193,-8.07074879,-3.819207769,6.677687567,1.439530201,5.745450942,81.26200526,3.974958582,49.74032649,50.25967351,9.999889232,10.16095792,8.953504503,9.055749049,7.871350597,7.814918921,3.072311157,62635,3.303775962,53.13923794,53.81185646,31.38500023,33.03099823,32.2179985,47.59487092,1216047,89.94985017
"Madagascar",8.55e+09,1.29e+09,-1.54e+09,-4.013860583,-6.686150503,-18.88243316,-7.799235493,-10.11121461,-8.593562991,-11.28008749,5.35254103,82.26994785,2.823526265,50.19283039,49.80716961,10.65943965,10.70063885,8.825489964,8.893377413,7.599474197,7.508460688,2.852824873,312191,3.023870084,53.12511317,53.47056727,78.16899872,79.37599945,78.77200317,49.36195618,10244359,95.55293097
"Malawi",6.19e+09,49100000,-2.23e+08,8.328110276,5.064058853,18.6845803,18.64488238,29.06925792,6.489727995,11.08223779,5.678877713,91.50229991,3.059443122,50.57614487,49.42385513,11.26032557,11.45366193,9.505871003,9.647577941,7.613595269,7.420581732,2.880030326,237102,3.185961999,50.29758557,51.12248785,61.73600006,62.84600067,62.28900146,48.62971177,6095214,90.04935565
"Mali",1.02e+10,6.47e+08,-3.17e+08,4.6790657,1.322384779,3.798701263,3.810590886,,0.426260643,-11.0542015,5.616331417,95.27772475,3.259179037,50.06924267,49.93075733,10.33436641,10.60969787,8.662835168,8.909343598,7.529562526,7.400579264,2.795668286,224620,3.071342604,49.27042859,50.28298685,44.01699829,65.58699799,54.93299866,38.42694825,4821507,60.41120474
"Mauritania",3.67e+09,-3072044.396,-925285714.285714,-1.042081704,-3.829016935,-12.55229474,-3.871241276,-0.068435125,0.558322916,2.185423229,5.610303479,74.54171877,2.856701122,49.81493249,50.18506751,10.40858097,10.65421028,9.118228843,9.348540292,8.078559563,7.885014499,3.114205108,62594,3.583649891,55.49924331,55.51834793,24.30999947,46.79899979,35.73099899,30.49874641,1025852,43.49411068
"MicronesiaFedSts",279966700,6e+05,3532500,1.177192743,1.681326889,,35.4050182,1.31875091,-1.491525424,,6.547677421,63.37157988,-0.497031315,48.99005444,51.00994556,12.26905935,12.8071201,10.30176899,11.42684743,8.660645259,8.395342901,3.853405156,2245,4.40775136,58.98025758,58.72813304,,,,,,
"Moldova",5.44e+09,258190000,-388090000,-6.000000259,-5.881261331,-38.80000067,-19.86999941,-21.91780822,-2.086604119,-12.09502036,13.90372526,22.91804249,-0.126238295,51.95031197,48.04968803,8.094538099,9.072760835,9.547940133,10.67056952,9.246936056,8.310478292,10.16191248,226490,12.22724333,74.21256592,72.04770516,19.82699966,24.09600067,21.99799919,48.49181669,1273751,84.86948524
"Mongolia",4.58e+09,6.24e+08,-52800000,-1.268598941,-2.754515797,32.612302989234,-0.412193257,-9.032234225,1.290864621,13.6884456112766,5.529831336,39.02541957,1.516449585,50.36079314,49.63920686,10.56147216,10.90337081,11.46616499,11.80611498,9.708671161,9.189140114,3.825410216,58158,4.327969572,69.21866613,69.13722651,29.64100075,37.75799942,33.73199844,45.99779807,1151716,82.89258096
"Morocco",9.29e+10,1.97e+09,-5.49e+09,4.243757321,2.964299665,-2.668660107,-6.576718812,-2.992356481,3.672412525,-9.181371915,9.344572996,44.26879824,1.236254388,50.71858966,49.28141034,9.724941136,10.26950347,9.430854633,9.471276555,8.531223402,9.024286128,6.083176823,1081614,6.666416844,64.57022762,65.61228607,19.31399918,53.96099854,36.64899826,26.49424927,11354732,33.94376568
"Mozambique",1.09e+10,9.3e+08,-8.51e+08,6.351970294,3.28988356,7.289920094,5.302075331,0.000806,7.883665023,15.49402047,6.110550294,89.61075742,2.921462927,51.48890115,48.51109885,10.18036241,10.72585521,8.574686186,8.866110283,7.432451379,7.446426272,3.122066966,427395,3.528608982,49.98980878,52.13255473,75.34600067,65.51499939,70.46900177,54.35781373,10548248,106.1971624
"Myanmar",3.69e+10,1.08e+09,-23800000,10.5500091,9.837575216,,18.33160163,18.57545097,11.90042697,,7.516814096,46.52245244,0.646530397,51.192566,48.807434,8.983179617,9.366828167,8.72589412,9.027773921,8.782501424,8.530155843,4.879803874,1388034,5.44449891,64.60445968,65.21800389,59.36999893,72.17900085,65.74299622,41.24935908,23565571,65.2632459
"Nepal",1.29e+10,38300000,1.6e+08,4.53307872,3.496219024,8.586057503,-0.590000566,-1.04437982,6.295407641,3.872437358,8.291287411,65.23580639,0.996848322,51.0706233,48.9293767,10.8766378,10.45901272,9.214519396,8.31720963,6.890296246,8.017259325,4.778093858,670419,4.909031359,56.10905198,59.08347526,74.64399719,76.91600037,75.71700287,49.97131355,13865431,90.84783856
"Nicaragua",8.3e+09,433900000,-259900000,-3.292665159,-4.522715723,-31.58557364,-8.712233717,-5.479909695,-1.397454806,0.042364086,7.52387296,53.84320977,1.280089288,50.72244583,49.27755417,10.57594556,11.35085308,10.10823768,10.6206448,9.241843978,9.161410186,4.662582252,146660,5.102583996,61.11592585,62.80095887,31.78000069,66.94400024,49.63899994,37.6563064,2415768,56.45249105
"Niger",5.4e+09,6.31e+08,-7.49e+08,-0.712671174,-4.38801774,31.73209199,5.914936884,4.424211988,11.54229159,19.45149671,5.166368879,104.6594485,3.771980829,50.04775225,49.95224775,9.943547983,9.599101502,8.109587089,6.969878495,5.771054178,6.872908983,2.462217922,214160,2.705916438,46.87828427,48.43748361,58.58200073,83.25900269,70.37999725,43.67885725,6274269,74.30638288
"Nigeria",1.69e+11,8.55e+09,-1.25e+10,6.934416004,4.12618684,34.74563776,3.543938985,7.936702982,12.03685497,-30.70184232,5.168190618,82.62152368,2.661221335,49.43874141,50.56125859,10.20788321,10.28328687,8.927950711,8.986446825,7.809222215,7.744088799,2.752115917,2239080,2.933247976,53.04715261,53.45958801,26.33300018,31.56399918,28.98699951,44.30944514,47480739,80.25913931
"Pakistan",1.68e+11,2.338e+09,-2.768e+09,2.831658519,0.735637493,-4.316425754,-5.206872816,-4.17597754,1.33149303,-3.361178732,7.443334749,61.84728914,2.05936331,48.56691775,51.43308225,11.09104681,11.02176158,10.05873525,9.960967543,8.156647806,8.258953476,4.396779088,3518816,4.337211563,58.7172728,59.44359923,20.73600006,68.23999786,45.07400131,20.73227417,56949189,27.43284975
"PapuaNewGuinea",1.16e+10,4.19e+08,-5.43e+08,6.805554144,4.341820616,21.3184132037143,15.12222325,-1.917545542,2.559510053,2.09275621614286,5.845803505,66.3069211,2.333768395,49.14752748,50.85247252,9.909286705,10.12597426,8.930986553,9.084434964,8.337607389,8.217908715,3.395707805,133637,3.913815634,58.02874317,58.1492309,59.34899902,56.99200058,58.13899994,48.61145799,3071027,96.08155877
"Philippines",1.68e+11,2.06e+09,5.52e+09,1.148332219,-0.462890953,-8.679544913,-1.916852448,-4.802573342,3.398497788,-7.832048506,6.500489706,56.37740168,1.605754541,49.55076822,50.44923178,10.31824691,10.50199652,9.024129252,9.156896682,8.066837579,8.00678324,3.991020298,2116863,4.632475197,61.37662501,61.41507664,33.63999939,52.73799896,43.35300064,38.81094679,37641192,63.2971962
"Rwanda",5.38e+09,118670000,-344623376.623377,6.248262564,3.38077389,2.48638703,1.321824505,2.92553432,6.227106227,-2.51213881,4.794818082,75.19704954,2.735944971,51.0543533,48.9456467,10.38020039,10.44358541,10.81041925,11.15931856,8.500705638,9.256134619,2.663908179,152146,2.986816241,55.12013456,55.97790228,78.98799896,78.91600037,78.95300293,51.26207969,5037796,98.23925911
"SaoTomeandPrincipe",1.88e+08,15500000,-48500000,2.426281344,0.087685937,,9.483817552,13.08464777,5.816808625,,7.286011353,84.71421345,2.309667228,50.24939992,49.75060008,10.55562675,10.82620412,9.673661032,9.894209158,7.550100613,7.378453006,3.794793136,3529,4.111568081,51.806917,52.35637474,23.22400093,53.50500107,38.47000122,35.33579903,54616,52.96910945
"Senegal",1.28e+10,3.3e+08,-5.43e+08,2.423175917,-0.408230355,-16.29579914,3.5305773,5.434349057,1.156924486,6.196937641,5.843128296,80.81913911,2.803348722,51.04107192,48.95892808,10.75958783,11.30445283,9.484978346,9.770128878,8.076531814,8.149005662,3.130321075,218812,3.415671798,52.49386025,54.60803959,28.91300011,53.19300079,41.04399872,38.77720291,3867739,57.92941879
"SierraLeone",2.45e+09,1.1e+08,-1.84e+08,3.188051215,0.818781112,11.52999749,-4.91381689,-6.805693603,8.351613334,9.035959861,4.544713968,82.72519614,2.322840471,50.63048215,49.36951785,10.62371084,10.63087817,9.156095164,9.232764321,7.924271508,7.86087871,2.426825519,79120,2.476439086,53.13657578,53.65471954,41.35900116,31.59000015,36.52600098,50.35781491,2182553,97.82441701
"SolomonIslands",5.98e+08,48600000,-3.9e+07,-4.727872457,-6.869690326,,-41.54040143,-17.92454096,1.409421481,,5.832662633,73.20229241,2.273760548,49.15797449,50.84202551,10.22456276,10.44652113,8.984481243,8.5843649,7.727605342,8.43302732,3.257834556,8091,3.18928784,55.07043112,56.66573378,57.88600159,66.48999786,62.24000168,43.59290302,221559,77.97979313
"Somalia",6526363636.36364,1.08e+08,,-1.484075684,-2.801599439,,-0.817203256,0,-7.614373352,,5.326777286,96.61164697,2.935688532,50.0496413,49.9503587,10.42346261,10.39177112,8.367986056,8.251671245,6.560599571,6.709450769,2.637822547,163029,2.782155528,49.36216963,49.67764308,12.47299957,51.44900131,31.86499977,19.0047987,2814305,23.14804937
"SouthSudan",14772340425.5319,-2.63e+08,-501378461.538462,-16.0937448311111,-18.8434461677778,,,,,,6.25832922,82.27089723,4.305463107,50.03195744,49.96804256,10.73164672,10.88667446,8.971467592,9.023110781,7.298385203,7.302227087,3.319553863,172924,3.573970719,52.78391192,53.30005944,65.69300079,62.51399994,64.09600067,48.55716621,4001743,92.57200486
"SriLanka",4.21e+10,4.04e+08,364060000,3.538912053,2.872273886,2.957759571,4.212006398,3.300369127,3.28224149,-12.30572406,10.63983481,37.84893324,0.645934456,51.21749659,48.78250341,7.929414605,8.310805636,8.004089105,8.07044326,8.244759336,8.280719322,7.165413887,807682,7.855333377,67.14598908,67.53498386,28.29100037,50.60699844,39.33200073,33.95184936,8341363,47.79003132
"Sudan",5.32e+10,1.73e+09,-4.85e+09,3.241847572,0.614039243,-0.132159803,7.301232723,8.492817635,6.215999769,-4.013440306,6.054818392,80.52265683,2.087340595,50.08295093,49.91704907,10.42656413,10.68475796,8.679384868,8.690103436,7.402546645,7.626666284,3.245203305,586208,3.478314117,53.14253788,54.0502997,17,44,30.5720005,24.38476723,9108260,31.37351779
"Swaziland",3.58e+09,65700000,-4.73e+08,1.565048852,-0.308357152,5.013660859,-3.194145375,-4.152306885,2.964574275,1.741550495,5.343066821,70.09077226,1.861761813,51.51201515,48.48798485,12.39908581,13.29849114,11.15687532,11.84972209,8.72318275,8.625593976,3.045630677,21433,3.524063204,56.0694934,57.87845903,32.95199966,47.70100021,40.34500122,40.10983401,372198,60.17129592
"SyrianArabRepublic",1.63e+10,2.57e+09,-1.57e+09,4.84196379385714,2.07414677871429,4.97873879228572,7.24180866828571,,5.988201938,8.284031172,5.780534146,62.18329582,2.427559897,49.44857084,50.55142916,10.51621789,10.82368111,10.44405551,10.53707331,9.345046269,9.486299198,3.44153509,372430,3.616664801,59.23811454,59.84211481,9.147999763,50.16799927,30.07799911,15.12156852,5636492,17.94011209
"Tajikistan",4.98e+09,15819400,-8510700,3.800000992,1.534611457,-1.053188971,-7.111746833,-6.440584241,6.269024882,7.109644525,5.83967996,59.81108306,2.206624036,49.59443647,50.40556353,11.51974084,11.6602194,10.86309351,10.80825643,8.293570548,8.265834237,3.525296143,132275,3.569116745,59.77569833,60.96966109,36.15599823,52.55699921,44.43899918,39.91547507,2815264,66.17881248
"Tanzania",2.86e+10,952630000,-1.62e+09,5.382346168,2.098472241,-9.806127731,3.302415124,4.688164239,5.388682534,3.518438709,5.914690847,87.61367252,3.171009777,50.66182494,49.33817506,10.68769522,10.57991702,9.113594467,8.896588231,7.571560204,7.71074832,3.056239791,729315,3.223105225,51.11451153,52.21512223,67.33599854,66.67700195,67.01399994,50.5491388,20317814,96.96456961
"TimorLeste",3.2e+09,4.8e+07,1.31e+09,-6.058326525,-7.255027523,75.57052001,-9.888509451,,-0.224664822,2.576687117,5.82013155,90.85961083,1.282059981,49.23495061,50.76504939,10.5003943,10.50805877,8.363898106,8.320871628,6.790471981,6.798212984,2.959192177,17494,3.253753329,50.88218051,50.80534766,12.08399963,20.98399925,16.59799957,31.44986498,251451,46.86348275
"Togo",3.16e+09,46100000,-3.6e+07,3.510296675,0.752255442,38.11938288,79.54408346,-10.95921506,-3.209543936,20.80243445,4.986075761,77.79672199,2.700650544,50.23709926,49.76290074,10.39985913,10.54898918,9.405973439,9.535538085,8.197888025,8.119846112,2.727869265,93310,2.934050678,54.64379381,54.77499375,66.24900055,64.51599884,65.3809967,49.69485572,2881260,96.92997627
"Tunisia",4.35e+10,1.53e+09,-1e+09,3.043448955,1.922135996,11.70305942,-0.080506104,-0.974046368,3.684706992,9.21437561,10.8342107,34.16333635,1.094158462,50.3731478,49.6268522,8.95260161,9.512556936,9.915550038,10.14988349,9.147347125,9.376700414,7.471995852,417993,7.886392538,68.65404385,69.27470388,19.23399925,39.7120018,29.6079998,26.78749523,3723954,35.36610087
"Uganda",1.82e+10,8.42e+08,-1.26e+09,6.801517348,3.190619217,2.458463913,5.746860454,10.03706726,-8.812786715,-8.564912902,4.715013443,102.4057036,3.439418395,50.36936219,49.63063781,10.99579839,11.21988316,8.935072135,9.07445984,7.385639336,7.291883999,2.276456702,421343,2.552511674,47.84566793,48.70999545,52.3730011,58.30400085,55.34400177,47.41496324,11722812,86.38479178
"Ukraine",1.17e+11,4.769e+09,-7.94e+08,-14.80000002,-14.42092881,-57.39999999,-19.47065527,-20.89999992,-14.92435711,-22.00000003,22.50904374,20.11858397,-0.443932417,53.81520735,46.18479265,5.738952684,7.029247284,7.230105987,8.830737578,8.788185581,7.326341486,15.78168503,4817682,19.43892846,72.79382792,67.8098477,36.47800064,47.19900131,41.9679985,48.19208334,21727965,77.14918117
"Uzbekistan",3.37e+10,8.42e+08,,8.099999996,6.291286901,24.8,32.98386177,4.540000046,-1.877083536,-5.11556177,7.011280499,45.12859434,1.687340969,50.27812881,49.72187119,11.18981139,11.84739968,10.56266203,10.84406681,8.943727498,8.877428147,4.608442188,730929,5.235534042,65.47525591,65.97994286,35.68099976,55.28699875,45.63700104,42.07587521,12475933,70.0545366
"Vanuatu",6.1e+08,32100000,3268564.228,3.312815802,0.875316475,-0.450430752,27.61144378,14.17624521,3.180065641,14.41523512,6.584917689,66.50166873,2.387616845,49.18951241,50.81048759,10.05170758,9.528926184,10.10191767,9.574123346,8.374266612,8.249429631,3.804406699,4280,3.770161113,56.77531041,58.81010896,50.6230011,62.13700104,56.31900024,43.52034828,99689,77.08688318
"Vietnam",1.06e+11,7.6e+09,-1.563e+10,5.397897543,4.365642085,4.312368603,5.975804353,2.762156132,6.54711797,-5.085057934,9.47251956,34.88685988,0.984216602,50.65182875,49.34817125,9.994458158,10.71251,9.658507066,10.17522315,9.194044968,8.869353656,6.561762455,3598119,8.11237134,69.7300169,68.8249152,59.08599854,63.42399979,61.29299927,48.46105017,50869267,88.94264757
"WestBankandGaza",7268200000,300468000,-4.36e+08,8.662535255,15.69506126,16.60363697,17.58733789,7.982295482,6.170699577,6.695396258,4.937064105,79.15273975,2.89186775,49.28439525,50.71560475,11.92920165,12.06313511,9.366437224,9.434846765,7.60673218,7.587558512,2.681870366,53204,2.915874416,54.25673313,54.3878581,9.43900013,43.07500076,26.57699966,18.7950467,875619,23.57098952
"YemenRep",2.51e+10,129200000,-9.4e+08,3.866229516,1.069911413,-8.740230741,2.063662812,2,6.67801299,-22.24412434,4.956120063,79.2864374,2.729134695,49.47228135,50.52771865,12.44474088,12.62715777,10.25372281,10.33469785,8.101589936,8.059818992,2.689997432,328562,2.89068761,54.07065506,54.48627922,10.6960001,49.37400055,30.35099983,13.46387197,5229818,15.66553552
"Zambia",1.53e+10,694800000,1.14e+09,9.220348406,6.185551827,,12.24744618,3.643151801,9.02574208,61.32767401,5.092174508,92.79051981,2.817933393,50.44968877,49.55031123,10.87661431,11.10669846,9.267430492,9.425533284,7.943627312,7.834435971,2.573329884,196792,2.898808185,50.15580342,50.90740951,60.36299896,64.64600372,62.50500107,47.4263444,5515365,86.28230404
"Zimbabwe",8621573600,1.05e+08,-1.27e+09,12.0195605,9.974501357,496.3598742,9.660700603,7.539997762,67.01217918,-3.82414849,5.578245622,74.89020454,1.842497031,51.29414753,48.70585247,11.61627255,12.15847187,10.89068253,11.03253382,9.277448875,9.462017937,3.090981065,243236,3.433583266,54.52369551,56.25445015,68.3789978,79.60700226,73.93199921,48.98803642,6671584,87.4684508
